first_name,Salary,Age
Jamaal Samples,44663,23
Wadsworth Headland,52293,46
Nicholas MacQuist,48630,50
Ethelind Aspinal,44997,33
Mildrid Probat,26673,33
Daffy Rennard,50944,55
Leeann Alvar,21018,58
Horten Duffin,38739,25
Sylvester Schimaschke,18851,42
Saundra Treverton,21894,50
Harmonia MacSkeaghan,33268,31
Mehetabel Kirwin,25700,36
Lida Ferrettino,23743,58
Emalia Wildgoose,27451,42
Amandy Haggar,32181,49
Ann Lassen,39191,56
Candie Troth,51116,28
Shelba Caudray,35665,58
Paddie Szachniewicz,40415,54
Mariejeanne Whatford,48930,46
Fred Fasler,31255,36
Daffie Wildbore,30981,21
Helena Yuryichev,55013,43
